Pressure (psi),PI (psi/bbl),Initial Watercut (%),GOR (scf/stb),Temperature Res. (F),ID tubing (in),FTP(Flowing Tubing Pressure) (psig),Killing Fluid (psi/),Max CHP (Psig),Gas Gravity,API,Depth of Reservoir,Depth of Tubing,Max Depth Injection,AOF (STB/d),Max Oil Rate (STB/d),Injected Gas Rate (MMscf/D),Injection Pressure (psig),Liquid rate (STB/d)
600,1.5,20,220,175,2.441,100,0.465,690,0.88,45.109,3235,2760,2700,510.7,278.214,1.28799,565,347.767
287.57,1.49,19.93,221.21,177.65,2.553468655,102.32,0.43,694.56,0.846,46.985,3223,2765,2705,241.4,16.681,0.99194,619.594,20.8334
323.47,1.065,14.05,253.052,175.05,2.138516059,95.89,0.287,694.84,0.861,47.246,3401,2701,2641,193.8,20.047,1.02705,619.832,23.324
333.69,2.36,23.61,229.162,179.77,2.495616162,99.79,0.44,692.57,0.798,46.461,3129,2803,2743,448.9,101.321,0.98563,567.568,132.619
334.01,1.772,20.63,211.859,174.18,2.557785037,105.34,0.506,693.94,0.842,43.671,3282,2850,2790,335.7,84.2756,1.00149,568.94,106.181
353.49,2.503,25.7,245.718,176.08,2.433125476,102.66,0.46,685.05,0.944,47.698,3165,2653,2593,506,43.2623,0.973,560.048,58.2186
354.44,1.743,16.76,223.073,174.94,2.431959992,101.83,0.641,690.21,0.94,44.448,3255,2588,2528,349.1,217.829,0.83042,565.21,261.688
355.74,1.041,20.93,208.884,167.46,2.421151929,96.64,0.472,688.19,0.8,43.304,3273,2863,2803,210.1,71.8184,0.9402,563.18,90.8289
365.63,1.605,13.4,206.557,179.01,2.529427526,102.12,0.453,689.66,0.97,40.988,3186,2833,2773,330.4,123.451,1.01086,564.655,142.56
366.03,1.412,17.49,251.361,177.5,2.330425963,94.17,0.532,689.02,0.794,46.212,3210,2741,2681,289.8,87.9001,0.91095,564.017,106.526
372.9,2.309,11.21,254.709,172.35,2.304745004,100.24,0.309,683.69,0.968,45.383,3302,2819,2759,483.3,175.007,1.25084,608.68,197.091
377.17,1.724,21.21,219.674,173.62,2.518810167,98.32,0.737,694.17,0.811,41.729,3151,2618,2558,368.7,49.7561,0.9587,519.171,63.1502
384.68,1.6,16.05,212.123,171.52,2.504064515,106.41,0.456,688.1,0.866,46.082,3189,2950,2890,347.3,164.431,1.26503,563.098,195.868
